(51.0, (887.0016235351562, 540.0004760742188), (931.9994750976563, 584.9996948242188), (909.5005493164062, 562.5000854492188))
(52.0, (886.84609375, 540.0755493164063), (932.2247802734375, 584.8724975585938), (909.5354370117188, 562.4740234375))
(53.0, (886.8066650390625, 539.9805297851562), (932.1949584960937, 584.80078125), (909.5008117675782, 562.3906555175781))
(54.0, (886.9984619140625, 540.000048828125), (932.000439453125, 585.0000854492188), (909.4994506835938, 562.500067138672))
(55.0, (887.1029052734375, 540.1347290039063), (932.2014282226562, 584.7538330078125), (909.6521667480469, 562.4442810058595))
(56.0, (887.0010986328125, 540.0000610351562), (932.0005249023437, 584.9998291015625), (909.5008117675782, 562.4999450683594))
(57.0, (887.2760620117188, 540.0771850585937), (932.200341796875, 584.7889404296875), (909.7382019042968, 562.4330627441407))
(57.0, (883.0283447265625, 536.009423828125), (933.1849243164063, 585.801318359375), (908.1066345214845, 560.9053710937501))
(58.0, (887.3809692382813, 540.0955200195312), (932.1561401367187, 584.8185546875), (909.7685546875, 562.4570373535156))
(58.0, (882.9806274414062, 536.0181030273437), (933.1545654296875, 585.8257446289062), (908.0675964355469, 560.921923828125))
(59.0, (886.999951171875, 540.0000244140625), (932.0000366210937, 585.0002319335938), (909.4999938964843, 562.5001281738282))
(59.0, (882.9998901367187, 535.9999389648438), (933.0000122070312, 586.000146484375), (907.999951171875, 561.0000427246093))
(60.0, (887.3053833007813, 540.1607543945313), (932.2652587890625, 584.7671997070313), (909.7853210449218, 562.4639770507813))
(60.0, (883.0421875, 536.080419921875), (933.2709350585938, 585.7694580078125), (908.1565612792969, 560.9249389648437))
(61.0, (887.3195678710938, 540.2125244140625), (932.2782470703125, 584.7953247070312), (909.7989074707032, 562.5039245605469))
(61.0, (882.6744262695313, 536.0679565429688), (933.2736938476562, 585.8025390625), (907.9740600585938, 560.9352478027345))
(62.0, (887.0005859375, 540.0001586914062), (932.0005493164062, 584.99921875), (909.5005676269532, 562.499688720703))
(62.0, (883.0003173828125, 536.0000732421875), (933.0010131835937, 585.9989990234375), (908.000665283203, 560.9995361328124))
(63.0, (887.4100463867187, 540.2477783203125), (932.144482421875, 584.8672729492188), (909.7772644042968, 562.5575256347656))
(63.0, (883.1379760742187, 536.1889526367188), (933.1443603515625, 585.87529296875), (908.1411682128905, 561.0321228027344))
(63.0, (884.070751953125, 534.1664672851563), (938.1437744140625, 587.891064453125), (911.1072631835937, 561.0287658691407))
(64.0, (887.2896118164062, 540.1287353515625), (932.2585083007813, 584.7697998046875), (909.7740600585937, 562.449267578125))
(64.0, (882.6758178710937, 536.0318725585937), (933.2624633789062, 585.7669677734375), (907.9691406249999, 560.8994201660156))
(64.0, (883.5473022460938, 533.995849609375), (938.2842163085937, 587.7028442382813), (910.9157592773438, 560.8493469238281))
(65.0, (886.9998046875, 539.9998779296875), (932.0, 585.0), (909.49990234375, 562.4999389648438))
(65.0, (882.9999633789063, 535.9998779296875), (933.0, 585.9999877929688), (907.9999816894531, 560.9999328613281))
(65.0, (883.9999755859375, 533.9999633789063), (938.000048828125, 588.0000244140625), (911.0000122070312, 560.9999938964844))
(66.0, (887.2194213867188, 540.0802490234375), (932.162890625, 584.8173217773438), (909.6911560058594, 562.4487854003906))
(66.0, (882.8006103515625, 535.9856811523438), (933.1558959960937, 585.820458984375), (907.9782531738281, 560.9030700683594))
(66.0, (884.0771850585937, 534.0601440429688), (938.118701171875, 587.8838989257813), (911.0979431152343, 560.9720214843751))
(66.0, (882.9291259765625, 535.0198120117187), (936.1290649414062, 587.8647827148437), (909.5290954589843, 561.4422973632812))
(67.0, (887.8274536132812, 540.4372436523438), (932.2607055664063, 584.693505859375), (910.0440795898437, 562.5653747558595))
(67.0, (883.8394287109375, 536.255517578125), (933.2521850585938, 585.7177001953125), (908.5458068847656, 560.9866088867188))
(67.0, (884.636669921875, 534.1837768554688), (938.1889038085938, 587.8125732421875), (911.4127868652344, 560.9981750488281))
(67.0, (883.4489013671875, 535.1226440429688), (936.2115234375, 587.7656982421875), (909.8302124023437, 561.4441711425782))
(68.0, (887.0001708984375, 540.001025390625), (932.000244140625, 585.0000732421875), (909.5002075195313, 562.5005493164062))
(68.0, (883.0005859375, 536.0009155273438), (933.0000732421875, 586.000244140625), (908.0003295898437, 561.0005798339844))
(68.0, (884.00048828125, 534.0007690429687), (938.000244140625, 588.0001831054688), (911.0003662109375, 561.0004760742188))
(68.0, (882.999853515625, 535.0000854492188), (936.0002685546875, 588.000146484375), (909.5000610351562, 561.5001159667969))
(69.0, (887.6536254882812, 540.0832885742187), (932.2516723632813, 584.6164184570313), (909.9526489257812, 562.349853515625))
(69.0, (883.3079833984375, 536.0656616210938), (933.2515869140625, 585.6122436523438), (908.27978515625, 560.8389526367188))
(69.0, (884.30390625, 534.0585205078125), (938.25654296875, 587.5751831054688), (911.280224609375, 560.8168518066407))
(69.0, (883.300390625, 535.07001953125), (936.2763793945312, 587.575830078125), (909.7883850097655, 561.3229248046875))
(69.0, (879.0635009765625, 534.007666015625), (935.314892578125, 589.57734375), (907.1891967773438, 561.7925048828124))
(70.0, (887, 540), (932, 585), (909.5, 562.5))
(70.0, (883.2807250976563, 536.0112060546875), (933.2592529296875, 585.6599243164062), (908.2699890136719, 560.8355651855468))
(70.0, (884.2826049804687, 534.0337768554688), (938.28291015625, 587.7032592773437), (911.2827575683593, 560.8685180664063))
(70.0, (883.1695068359375, 534.9917114257812), (936.279541015625, 587.6795288085938), (909.7245239257812, 561.3356201171875))
(70.0, (878.9731567382812, 533.9312866210937), (935.2530151367188, 589.6591674804688), (907.1130859375, 561.7952270507812))
(71.0, (887.00009765625, 540.0002075195313), (931.9999877929688, 585.0), (909.5000427246093, 562.5001037597656))
(71.0, (882.9996704101562, 535.9997314453125), (933.0000244140625, 585.9993774414063), (907.9998474121094, 560.9995544433593))
(71.0, (883.999853515625, 533.999853515625), (937.9999877929688, 587.9994873046875), (910.9999206542968, 560.9996704101562))
(71.0, (883.0000366210937, 534.999951171875), (935.9999877929688, 587.9994995117188), (909.5000122070312, 561.4997253417969))
(71.0, (878.9998779296875, 533.9998413085938), (934.999951171875, 589.999658203125), (906.9999145507812, 561.9997497558594))
(72.0, (886.3811767578125, 539.9759643554687), (931.7850463867187, 585.3000854492187), (909.0831115722656, 562.6380249023437))
(72.0, (883.4147705078125, 536.0616943359375), (933.2129028320312, 585.69833984375), (908.3138366699218, 560.8800170898437))
(72.0, (884.2642944335937, 534.03681640625), (938.1589965820312, 587.7285888671875), (911.2116455078125, 560.8827026367187))
(72.0, (883.4066650390625, 535.0672607421875), (936.1829956054687, 587.7164428710937), (909.7948303222656, 561.3918518066406))
(72.0, (879.01728515625, 534.0001586914062), (935.2830688476563, 589.6294067382812), (907.1501770019531, 561.8147827148437))
(73.0, (886.4072265625, 539.8774536132812), (931.675732421875, 585.3219848632813), (909.0414794921875, 562.5997192382813))
(73.0, (883.3483520507813, 536.09189453125), (933.3219604492188, 585.674267578125), (908.33515625, 560.8830810546874))
(73.0, (884.501220703125, 534.1228881835938), (938.3242553710937, 587.6713012695312), (911.4127380371094, 560.8970947265625))
(73.0, (883.345849609375, 535.09150390625), (936.314453125, 587.681494140625), (909.8301513671875, 561.3864990234374))
(73.0, (878.9982177734375, 533.9995971679688), (935.300439453125, 589.6606079101563), (907.1493286132813, 561.8301025390625))
(74.0, (886.9998779296875, 540.0001831054688), (932.0006225585937, 584.9977661132813), (909.5002502441406, 562.498974609375))
(74.0, (882.997314453125, 535.9993774414063), (932.9991088867188, 586.0024658203125), (907.9982116699218, 561.0009216308595))
(74.0, (883.997412109375, 533.9993774414063), (937.9992431640625, 588.0070922851562), (910.9983276367187, 561.0032348632812))
(74.0, (882.9974731445312, 534.9993041992187), (935.9987670898438, 588.003271484375), (909.4981201171875, 561.5012878417969))
(74.0, (878.9999755859375, 533.9999755859375), (935.000390625, 590.0026977539062), (907.0001831054688, 562.0013366699218))
(75.0, (886.3570190429688, 539.8787963867187), (931.7094970703125, 585.3677612304688), (909.0332580566406, 562.6232788085938))
(75.0, (883.5203247070312, 536.134619140625), (933.2982666015625, 585.6234985351563), (908.4092956542969, 560.8790588378906))
