(51.0, (887.0016235351562, 540.0004760742188), (931.9994750976563, 584.9996948242188), (909.5005493164062, 562.5000854492188))
(52.0, (886.84609375, 540.0755493164063), (932.2247802734375, 584.8724975585938), (909.5354370117188, 562.4740234375))
(53.0, (886.8066650390625, 539.9805297851562), (932.1949584960937, 584.80078125), (909.5008117675782, 562.3906555175781))
(54.0, (886.9984619140625, 540.000048828125), (932.000439453125, 585.0000854492188), (909.4994506835938, 562.500067138672))
(55.0, (887.1029052734375, 540.1347290039063), (932.2014282226562, 584.7538330078125), (909.6521667480469, 562.4442810058595))
(56.0, (887.0010986328125, 540.0000610351562), (932.0005249023437, 584.9998291015625), (909.5008117675782, 562.4999450683594))
(57.0, (885.1522033691406, 538.0433044433594), (932.6926330566407, 585.2951293945313), (908.9224182128906, 561.6692169189454))
(58.0, (885.1807983398437, 538.0568115234375), (932.6553527832032, 585.3221496582031), (908.9180755615234, 561.6894805908203))
(59.0, (884.9999206542968, 537.9999816894531), (932.5000244140624, 585.5001892089845), (908.7499725341796, 561.7500854492188))
(60.0, (885.1737854003907, 538.1205871582031), (932.7680969238281, 585.2683288574219), (908.9709411621093, 561.6944580078125))
(61.0, (884.9969970703125, 538.1402404785156), (932.7759704589844, 585.2989318847656), (908.8864837646485, 561.7195861816407))
(62.0, (885.0004516601562, 538.0001159667968), (932.50078125, 585.4991088867187), (908.7506164550781, 561.7496124267577))
(63.0, (884.8729248046875, 536.8677327473957), (934.4775390625, 586.2112101236979), (909.6752319335938, 561.539471435547))
(64.0, (884.5042439778646, 536.718819173177), (934.6017293294271, 586.0798706054687), (909.5529866536458, 561.3993448893228))
(65.0, (884.666581217448, 536.666573079427), (934.333349609375, 586.3333374023438), (909.4999654134114, 561.4999552408854))
(66.0, (884.2565856933593, 536.2864715576172), (934.8916381835937, 586.5966156005859), (909.5741119384766, 561.4415435791017))
(67.0, (884.9381134033204, 536.4997955322266), (934.9783294677735, 586.4973693847658), (909.9582214355469, 561.4985824584962))
(68.0, (884.2502746582031, 536.250698852539), (934.7502075195313, 586.7501617431641), (909.5002410888671, 561.5004302978516))
(69.0, (883.5258813476563, 535.8570312499999), (935.07021484375, 586.9914038085938), (909.298048095703, 561.4242175292968))
(70.0, (883.3411987304687, 535.7935961914063), (935.0149438476562, 587.1403759765624), (909.1780712890626, 561.4669860839844))
(71.0, (883.1999072265626, 535.7999169921875), (934.7999877929688, 587.3996044921876), (908.9999475097654, 561.5997607421875))
(72.0, (883.2968383789063, 535.82837890625), (934.9246020507811, 587.2145727539062), (909.1107202148436, 561.5214758300781))
(73.0, (883.3201733398437, 535.8366674804686), (934.9873681640626, 587.2019311523438), (909.1537707519532, 561.5192993164062))
(74.0, (883.1984106445312, 535.7996435546876), (934.7996264648439, 587.4026586914063), (908.9990185546874, 561.6011511230469))
(75.0, (882.3148620605467, 536.5398946126303), (933.7142232259115, 587.5867899576823), (908.0145426432291, 562.0633422851563))
(76.0, (882.2801310221354, 536.5395975748697), (933.5998575846353, 587.6498372395835), (907.9399943033853, 562.0947174072265))
(77.0, (882.1666361490885, 536.4998474121095), (933.499825032552, 587.8335510253906), (907.8332305908202, 562.1666992187501))
(78.0, (880.9659633091518, 536.3222150530133), (933.4518781389509, 588.5196132114955), (907.2089207240514, 562.4209141322546))
(79.0, (880.9693115234376, 536.3084681919644), (933.454776436942, 588.512273297991), (907.2120439801898, 562.4103707449777))
(80.0, (880.8572963169643, 536.2861990792411), (933.285733468192, 588.7142909458706), (907.0715148925782, 562.5002450125556))
(81.0, (880.9859828404018, 536.3018903459822), (933.3883544921874, 588.5442243303572), (907.1871686662947, 562.4230573381695))
(82.0, (880.885569545201, 536.2979928152902), (933.3768938337054, 588.587677873884), (907.131231689453, 562.442835344587))
(83.0, (880.8571376255579, 536.2857299804688), (933.2857369559152, 588.7143973214287), (907.0714372907366, 562.5000636509486))
(84.0, (878.9808090209962, 535.8609970092774), (932.7193939208985, 589.3460327148438), (905.8501014709473, 562.6035148620605))
(85.0, (878.8798233032227, 535.8649795532226), (932.7065170288085, 589.422119140625), (905.7931701660156, 562.6435493469237))
(86.0, (878.9998916625979, 535.875096130371), (932.6250442504883, 589.5000045776367), (905.812467956543, 562.687550354004))
(87.0, (877.870681423611, 536.0892618815102), (932.1911933051217, 590.1063937717014), (905.0309373643663, 563.0978278266059))
(88.0, (877.7889105902777, 536.0972357855903), (932.1666327582466, 590.1886271158854), (904.9777716742622, 563.1429314507379))
(89.0, (877.6943183051216, 536.0683444552952), (932.1175550672742, 590.2129191080728), (904.905936686198, 563.1406317816841))
(90.0, (875.2222832573784, 535.6666815863715), (931.2211425781251, 591.6654242621527), (903.2217129177518, 563.6660529242622))
(91.0, (875.0492268880208, 535.6197062174479), (931.3298773871526, 591.5469292534722), (903.1895521375868, 563.5833177354601))
(92.0, (875.2221530490451, 535.6666625976562), (931.222196451823, 591.6667941623265), (903.2221747504341, 563.6667283799914))
(93.0, (875.0711385091146, 535.6313734266492), (931.3079345703126, 591.5419840494792), (903.1895365397136, 563.5866787380643))
(94.0, (874.9499850802952, 535.6302829318577), (931.2762044270834, 591.6390231662326), (903.1130947536892, 563.6346530490451))
(95.0, (875.2214138454862, 535.6669867621529), (931.2222167968749, 591.6667317708333), (903.2218153211805, 563.666859266493))
(96.0, (871.7687649197048, 535.7383748372397), (929.9210883246528, 593.4405748155382), (900.8449266221788, 564.5894748263888))
(97.0, (871.6857598198786, 535.7344373914931), (929.87109375, 593.4557210286458), (900.7784267849393, 564.5950792100693))
